walk_idx,step_idx,kl_divergence
0,0,10.25778865814209
0,1,18.371416091918945
1,0,9.409026145935059
1,1,18.374540328979492
2,0,8.917996406555176
3,0,15.113402366638184
3,1,18.372570037841797
4,0,11.034958839416504
5,0,15.615674018859863
5,1,18.373842239379883
6,0,7.0226593017578125
7,0,6.592497825622559
8,0,11.531280517578125
8,1,18.37944793701172
9,0,7.756148338317871
10,0,5.358689308166504
11,0,14.31556510925293
11,1,18.375850677490234
12,0,8.386025428771973
13,0,7.130387783050537
14,0,7.4097771644592285
15,0,11.376002311706543
15,1,18.380651473999023
16,0,8.678703308105469
17,0,13.265111923217773
18,0,9.057265281677246
19,0,10.584624290466309
20,0,12.080116271972656
20,1,18.376323699951172
21,0,8.342508316040039
22,0,9.844255447387695
23,0,11.95490837097168
23,1,18.373693466186523
24,0,8.658453941345215
25,0,15.476593017578125
26,0,16.49070167541504
27,0,11.230585098266602
27,1,18.379472732543945
28,0,15.169682502746582
29,0,3.419736385345459
29,1,18.360929489135742
30,0,10.57038688659668
31,0,10.09156608581543
32,0,9.31074333190918
32,1,18.375696182250977
33,0,6.367901802062988
34,0,7.858095645904541
35,0,9.146733283996582
36,0,5.271666049957275
36,1,18.373247146606445
37,0,4.458542346954346
37,1,18.373376846313477
38,0,7.068789482116699
39,0,9.267133712768555
40,0,16.50967788696289
40,1,18.37233543395996
41,0,9.54300594329834
41,1,18.378864288330078
42,0,16.757184982299805
43,0,9.171330451965332
44,0,8.377095222473145
45,0,10.272560119628906
46,0,9.604948043823242
47,0,11.234811782836914
48,0,13.552417755126953
49,0,14.645830154418945
50,0,7.517179489135742
50,1,18.37941551208496
51,0,10.128471374511719
52,0,8.332385063171387
53,0,9.706295013427734
53,1,18.371063232421875
54,0,8.18008041381836
54,1,18.380176544189453
55,0,4.888784885406494
56,0,11.490072250366211
57,0,13.788742065429688
58,0,8.249238967895508
59,0,8.840210914611816
59,1,18.37790298461914
60,0,15.11386489868164
61,0,11.538691520690918
61,1,18.37976837158203
62,0,14.690387725830078
63,0,7.291914939880371
64,0,3.6819727420806885
65,0,12.461193084716797
66,0,9.116107940673828
67,0,3.465656042098999
67,1,18.377822875976562
68,0,9.130270004272461
69,0,7.800020217895508
69,1,18.378232955932617
70,0,8.443426132202148
71,0,11.749130249023438
72,0,9.072524070739746
72,1,18.375076293945312
73,0,10.775277137756348
74,0,11.560845375061035
74,1,18.380207061767578
75,0,7.214212417602539
76,0,5.616491317749023
77,0,10.527422904968262
78,0,9.449979782104492
78,1,18.37674903869629
79,0,4.137722969055176
80,0,11.24575424194336
81,0,10.497149467468262
82,0,9.749663352966309
83,0,11.081791877746582
83,1,18.378538131713867
84,0,8.016128540039062
84,1,18.37407684326172
85,0,8.323356628417969
86,0,8.026166915893555
86,1,18.369335174560547
87,0,11.128713607788086
88,0,6.136329650878906
89,0,17.12779998779297
90,0,11.31837272644043
91,0,13.441790580749512
91,1,18.37051010131836
92,0,13.452418327331543
92,1,18.37333869934082
93,0,11.933374404907227
94,0,9.419729232788086
95,0,7.776073932647705
96,0,1.966538667678833
97,0,11.403448104858398
98,0,9.116119384765625
99,0,17.68438720703125
100,0,9.399752616882324
101,0,13.255403518676758
101,1,18.373064041137695
102,0,9.86046028137207
103,0,8.695290565490723
103,1,18.37627410888672
104,0,9.378613471984863
