walk_idx,step_idx,kl_divergence
0,0,5.223194122314453
0,1,18.377376556396484
1,0,8.308919906616211
1,1,18.367969512939453
2,0,8.602029800415039
3,0,10.421866416931152
3,1,18.378087997436523
4,0,14.832282066345215
4,1,18.37819480895996
5,0,13.169571876525879
6,0,9.103252410888672
6,1,18.378217697143555
7,0,12.824529647827148
8,0,9.20043659210205
8,1,18.379671096801758
9,0,9.385519981384277
10,0,12.945068359375
11,0,13.703373908996582
12,0,11.282854080200195
12,1,18.37934684753418
13,0,8.893453598022461
14,0,14.175586700439453
15,0,9.404410362243652
16,0,13.135980606079102
17,0,9.54258918762207
18,0,12.586097717285156
19,0,7.631548881530762
20,0,10.678569793701172
20,1,18.382022857666016
21,0,10.088092803955078
21,1,18.37390899658203
22,0,7.631333351135254
23,0,13.069917678833008
24,0,12.297591209411621
24,1,18.378877639770508
25,0,10.241466522216797
25,1,18.377954483032227
26,0,11.105162620544434
27,0,12.931875228881836
27,1,18.3784236907959
28,0,7.737783908843994
28,1,18.381084442138672
29,0,12.606000900268555
30,0,13.206830978393555
31,0,8.473466873168945
31,1,18.379179000854492
32,0,17.113117218017578
33,0,9.545368194580078
33,1,18.377647399902344
34,0,17.134647369384766
35,0,13.396505355834961
36,0,9.499923706054688
36,1,18.380277633666992
37,0,10.921871185302734
37,1,18.371971130371094
38,0,10.078193664550781
38,1,18.37529754638672
39,0,9.327622413635254
40,0,9.271178245544434
41,0,6.101457118988037
42,0,6.467249870300293
42,1,18.370195388793945
43,0,12.297245979309082
44,0,15.577129364013672
44,1,18.377643585205078
45,0,7.805602073669434
45,1,18.37985610961914
46,0,8.73122787475586
46,1,18.379959106445312
47,0,6.145306587219238
48,0,15.020094871520996
48,1,18.376867294311523
49,0,14.09172248840332
50,0,9.047146797180176
51,0,12.20876693725586
52,0,9.270394325256348
53,0,7.901494026184082
54,0,12.668232917785645
55,0,9.371755599975586
56,0,6.704684257507324
57,0,6.673572540283203
58,0,6.404402732849121
59,0,12.976747512817383
60,0,15.649593353271484
61,0,7.202149868011475
61,1,18.37820053100586
62,0,7.144050598144531
63,0,10.649206161499023
63,1,18.36777114868164
64,0,4.7604193687438965
65,0,15.465290069580078
65,1,18.375415802001953
66,0,16.83841323852539
67,0,13.439876556396484
67,1,18.378990173339844
68,0,9.505228996276855
68,1,18.378437042236328
69,0,6.370348930358887
69,1,18.370811462402344
70,0,7.066530227661133
71,0,6.332178115844727
72,0,11.676618576049805
73,0,16.28778839111328
74,0,9.238068580627441
74,1,18.377674102783203
75,0,12.039770126342773
76,0,10.555885314941406
77,0,14.31545639038086
78,0,8.248228073120117
79,0,15.973897933959961
80,0,10.18580436706543
81,0,14.58910846710205
82,0,10.404329299926758
82,1,18.379549026489258
83,0,12.302998542785645
83,1,18.376434326171875
84,0,8.028013229370117
85,0,15.258562088012695
86,0,9.110715866088867
87,0,8.363385200500488
88,0,13.679420471191406
89,0,12.342615127563477
89,1,18.376001358032227
90,0,9.309612274169922
91,0,15.715719223022461
92,0,8.66655445098877
93,0,8.65410327911377
94,0,3.2201297283172607
95,0,3.6893563270568848
96,0,11.653498649597168
97,0,8.651718139648438
97,1,18.37978172302246
98,0,8.30926513671875
98,1,18.374406814575195
99,0,7.174624443054199
